Center;Sub;Subject ;SubAnimacy;Verb;DO;Comp;sem_humq;sem_abstract;sem_freq;sem_physq;sem_size;sem_quant;sem_dist;sem_speed;k1_sem;k1_rank;;;;;;;
 куда как AdvComp;1;он;1;0;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;0;0;0;0;1;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;0;0;0;идти;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;женщина;1;выглядеть;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;1;обтекатели;0;расписать;0;0;0;0;0;0;0;0;0;0;colour;qual;;;;;;;
 куда как Adv;1;это;0;0;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;1;я;1;помнить;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;0;0;0;0;1;0;0;0;0;0;0;0;1;0;dist;qual;;;;;;;
 куда как Adv;0;0;0;быть;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;0;0;0;быть;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;алкаш;1;оказаться;1;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;проблема;0;быть;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;1;противник;1;вырасти;0;0;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;он;1;мочь;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как Adv;0;0;0;0;0;0;0;0;0;1;0;0;0;0;physq;qual;;;;;;;
 куда как AdvComp;0;0;0;0;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;выговаривать;1;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;мы;1;привыкли;0;1;0;0;0;0;0;0;0;0;freq;qual;;;;;;;
 куда как AdvComp;0;0;0;оказаться;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;проблемы;0;0;0;1;0;0;0;0;1;0;0;0;size;qual;;;;;;;
 куда как AdvComp;0;0;0;уберечь;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;которая;0;мочь;0;1;0;0;0;1;0;0;0;0;physq;qual;;;;;;;
 куда как AdvComp;1;это;0;сделать;1;1;0;0;0;1;0;0;0;0;physq;qual;;;;;;;
 куда как Adv;0;0;0;быть;0;0;0;0;0;1;0;0;0;0;physq;qual;;;;;;;
 куда как Adv;1;ларчик;0;открываться;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;они;0;0;1;1;0;0;0;0;0;0;1;0;dist;qual;;;;;;;
 куда как AdvComp;0;0;0;0;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;это;0;быть;1;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;она;1;делаться;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как Adv;0;0;0;быть;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;1;тот;1;повести;0;0;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как Adv;1;он;1;жить;0;0;0;0;0;0;0;0;0;0;time;qual;;;;;;;
 куда как AdvComp;0;0;0;быть;0;1;0;0;0;1;0;0;0;0;physq;qual;;;;;;;
 куда как AdvComp;0;0;0;быть;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;эти двое;1;быть;1;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как Adv;1;ты;1;толковать;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;город;0;быть;0;1;0;0;0;0;1;0;0;0;size;qual;;;;;;;
 куда как Adv;0;0;0;быть;1;0;0;0;0;0;0;1;0;0;quant;qual;;;;;;;
 куда как AdvComp;1;цена;0;оказаться;1;1;0;0;0;0;1;0;0;0;size;qual;;;;;;;
 куда как Adv;0;0;0;появитьcя;0;0;0;0;0;0;0;1;0;0;quant;qual;;;;;;;
 куда как Adv;0;0;0;0;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;быть;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;третье;0;выглядеть;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;0;1;1;0;0;0;0;0;1;0;0;quant;qual;;;;;;;
 куда как AdvComp;0;0;0;перестараться;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;1;это;0;0;0;0;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;пиво;0;0;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;позволить;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;болтать;1;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;ты;1;волноваться;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;быть;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как Adv;0;0;0;0;0;0;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;которые;1;0;1;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;0;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;результат;0;быть;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как AdvComp;1;это;0;0;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;который;1;принимать;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;0;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;0;0;0;0;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;работа;0;0;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;0;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;Сергей Хардиков;1;рисковать;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;рана;0;заживать;0;1;0;0;0;0;0;0;0;1;speed;qual;;;;;;;
 куда как Adv;0;0;0;0;0;0;0;0;0;0;0;0;1;0;dist;qual;;;;;;;
 куда как AdvComp;1;Елизавета Вторая;1;постареть;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;Олег Курбатов;1;иметь;0;1;1;0;0;0;0;0;0;0;humq;qual;;;;;;;
 куда как Adv;0;0;0;0;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;0;0;0;0;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;0;0;0;быть;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;0;0;0;0;1;0;0;0;0;0;0;0;1;0;dist;qual;;;;;;;
 куда как Adv;0;0;0;0;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;0;0;0;держать;0;0;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;работа;0;0;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;0;0;0;0;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;житье;0;0;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как Adv;1;пространство;0;0;0;0;0;0;0;0;1;0;0;0;size;qual;;;;;;;
 куда как AdvComp;0;0;0;усыпить;0;1;0;1;0;0;0;0;0;0;abstract;qual;;;;;;;
 куда как AdvComp;1;потрясения;0;случаться;0;1;0;0;1;0;0;0;0;0;freq;qual;;;;;;;
